AAPL, AVB, AMD, CCC, BA, BLL, C, INTC, GPS, MMM, T, TJX
  1.429811, 22.541698, 23.750000,  4.996917, 45.436691,  1.856665,373.142883, 31.295704, 19.421524, 31.524321, 24.672314,  5.689909
  1.224978, 22.325836, 20.062500,  5.106740, 43.674248,  1.893201,357.247833, 25.217686, 17.525608, 31.565865, 24.645348,  5.624953
  1.188831, 22.788389, 20.562500,  4.557628, 45.060608,  1.972913,354.537598, 28.284702, 18.219233, 31.898148, 24.160007,  5.372570
  1.241043, 22.418348, 20.812500,  4.447807, 45.276012,  2.036020,328.199677, 29.946007, 18.496683, 31.835827, 24.483570,  5.229473
  1.096456, 22.973412, 15.437500,  4.777274, 45.362167,  2.072556,339.472198, 23.258204, 18.311720, 33.306770, 22.515184,  5.463628
  0.967934, 23.805998, 16.062500,  4.557628, 48.205376,  2.097380,357.247833, 23.173004, 19.761927, 39.094704, 22.299459,  5.788846
  0.903672, 24.176050, 16.187500,  4.557628, 44.715981,  2.097380,333.402466, 22.108076, 17.679291, 37.506695, 23.162308,  5.047354
  0.963917, 23.559309, 14.312500,  4.392894, 43.725185,  2.287444,347.276001, 22.448849, 17.864418, 37.694744, 19.791786,  5.333544
  0.955884, 24.731102, 13.812500,  4.996917, 45.491402,  2.457502,354.212891, 20.489374, 18.882591, 40.285748, 20.600719,  5.775837
  1.052276, 23.991945, 16.000000,  5.161653, 40.494232,  2.470840,372.422272, 21.852488, 20.363581, 38.300709, 21.571436,  5.905923
  1.104488, 23.711161, 17.812500,  5.436207, 41.786613,  2.487512,368.520142, 21.895098, 21.844566, 36.670891, 21.975897,  6.036009
  1.253093, 23.711161, 22.000000,  5.491119, 38.383373,  2.300781,377.191315, 22.874834, 19.252844, 35.688812, 21.545628,  5.723803
  1.257109, 23.461563, 21.375000,  5.546030, 40.020378,  2.134059,382.827362, 24.450935, 23.603239, 35.876869, 20.244762,  6.309190
  1.325386, 23.960739, 23.889999,  5.710762, 39.184650,  2.130324,384.717712, 24.323147, 23.784668, 36.350780, 21.594416,  6.681237
  1.228994, 22.962389, 24.370001,  6.325768, 39.522388,  2.158066,375.876984, 22.832235, 19.993338, 36.996021, 20.193806,  5.938184
  1.220962, 23.162066, 24.709999,  6.018265, 41.473217,  2.210886,375.529205, 23.441736, 21.800144, 37.851883, 20.692471,  6.637477
  1.208913, 23.087175, 22.100000,  5.574869, 42.593174,  2.088177,335.194672, 20.415619, 20.474651, 36.909081, 21.559721,  6.391570
  1.237027, 24.405024, 21.740000,  5.902280, 41.549255,  2.218887,333.803864, 19.989401, 17.644407, 37.417229, 20.193806,  6.189421
  1.301288, 24.340130, 23.299999,  6.273939, 45.282455,  2.384157,341.662079, 20.074646, 19.007938, 39.124569, 19.513020,  6.591630
  1.261125, 24.290213, 23.400000,  6.265089, 37.159279,  2.341852,316.418182, 19.009117, 17.244246, 35.629211, 18.272858,  6.191503
  1.478006, 23.636278, 29.440001,  6.442069, 36.640770,  2.370236,297.989471, 19.648436, 17.629587, 34.197449, 18.151449,  6.531194
  1.418243, 22.867542, 26.540001,  6.619049, 38.514294,  2.456455,312.802002, 17.943583, 17.577711, 34.920044, 19.352587,  6.668735
  1.323137, 22.262461, 20.049999,  7.132292, 38.700951,  2.477875,297.293976, 16.110863, 18.303944, 34.281475, 18.775864,  6.143574
  1.440735, 21.756502, 24.850000,  7.158837, 41.825794,  2.445209,328.935883, 19.176189, 17.407274, 36.207291, 17.960043,  5.941429
  1.609099, 22.049965, 29.000000,  7.167687, 42.655392,  2.539461,343.678741, 22.115355, 19.104280, 37.810448, 17.445406,  6.241520
  1.683642, 22.950581, 30.000000,  7.380063, 42.593174,  2.506258,354.040649, 20.580996, 20.905024, 39.988331, 18.274061,  6.597880
  1.654725, 22.854450, 30.990000,  7.149989, 44.591137,  2.340245,353.136597, 21.058346, 20.823511, 40.327774, 18.383099,  6.610385
  1.468367, 22.409203, 27.680000,  7.043801, 45.635044,  2.375055,343.516632, 19.065388, 24.602871, 39.450577, 18.426708,  7.137630
  1.512065, 23.061890, 32.490002,  6.928594, 47.377399,  2.568915,354.674347, 19.624924, 25.158663, 41.356236, 19.416733,  7.056042
  1.462584, 23.674103, 31.940001,  7.026556, 43.897728,  2.473591,361.647766, 19.856926, 23.824776, 40.121490, 18.470318,  7.072733
  1.342416, 23.324993, 29.600000,  7.338253, 45.055305,  2.511614,361.229431, 19.611279, 22.928091, 40.337700, 18.339481,  6.991344
  1.370048, 23.552673, 31.100000,  7.747913, 44.771103,  2.657761,355.301941, 20.928249, 23.270647, 40.574162, 18.073439,  6.934994
  1.313498, 23.330051, 27.559999,  7.204669, 44.535446,  2.532583,343.795471, 18.887962, 22.580982, 40.834274, 17.580605,  6.646993
  1.430453, 23.856260, 24.670000,  7.079990, 39.510033,  2.349382,372.387024, 18.771957, 23.752666, 39.449272, 16.943846,  7.039346
  1.494072, 23.653875, 28.900000,  6.990933, 38.539627,  2.555147,368.481720, 19.959286, 21.505693, 38.543930, 17.471581,  6.651167
  1.415673, 24.554489, 20.799999,  6.946405, 37.638508,  2.528285,354.186066, 19.399736, 19.651758, 38.712837, 17.445406,  6.421602
  1.596889, 24.415987, 21.080000,  6.946405, 38.172237,  2.638421,340.727112, 20.600708, 21.550190, 37.912235, 18.409983,  6.999692
  1.283938, 24.210817, 17.000000,  7.079990, 39.364475,  2.648090,352.582092, 20.423288, 22.432665, 38.172337, 18.826897,  7.137432
  1.218391, 24.523710, 17.680000,  7.275914, 40.300259,  2.627138,349.025665, 19.938805, 20.178272, 37.658863, 19.252583,  6.907862
  1.253093, 25.128981, 19.250000,  7.195763, 41.041931,  2.686235,356.557098, 21.617441, 20.311758, 37.743328, 19.085817,  7.252215
  1.222247, 25.595751, 16.209999,  7.151234, 39.406078,  2.599202,347.263702, 20.449680, 18.828608, 37.108253, 19.537838,  7.473432
  1.161199, 25.647049, 14.390000,  7.169327, 37.430573,  2.699129,325.997009, 19.166023, 15.891961, 36.713001, 18.673298,  7.587797
  1.193329, 26.185640, 15.000000,  7.465062, 37.287525,  2.793685,337.889526, 19.855652, 15.358031, 37.364986, 18.699631,  7.539733
  1.192044, 25.898390, 13.550000,  7.303752, 35.598007,  2.828605,320.400482, 19.090919, 14.571961, 35.362755, 17.953569,  7.334936
  1.110433, 25.231562, 11.500000,  7.267905, 31.412447,  3.041907,303.750885, 17.677534, 11.116222, 34.234970, 17.993067,  6.789518
  1.116216, 25.108467, 11.850000,  7.384408, 30.216593,  3.017663,296.965027, 17.800432, 11.034643, 34.717335, 19.059486,  6.666225
  1.010828, 22.851521,  9.300000,  6.192505, 20.927734,  2.912064,254.361603, 13.177921,  8.468794, 29.547113, 19.419350,  6.267087
  0.996690, 24.492931,  8.150000,  6.819822, 23.291666,  3.227246,283.323425, 13.956303,  8.877770, 33.426472, 20.678865,  6.875196
  1.037175, 24.358633,  8.600000,  7.016978, 25.210613,  3.151279,301.512268, 14.994157,  9.806412, 33.881672, 19.695827,  7.240901
  1.157343, 24.478235, 10.400000,  8.289538, 24.960323,  3.039214,315.223755, 17.083506, 10.058999, 35.495243, 19.484566,  7.211644
  1.175979, 23.838587,  9.190000,  8.083417, 23.256897,  3.294053,320.750183, 16.489470, 10.772192, 34.707142, 19.259491,  7.401805
  1.199756, 23.661776, 10.340000,  8.244724, 26.197905,  3.516566,339.848328, 17.657047, 10.326448, 37.309250, 17.299997,  7.360013
  1.193329, 23.604570, 12.250000,  8.289538, 23.882647,  3.443833,328.305481, 17.957479, 10.415600, 36.755531, 17.039608,  7.374645
  1.202326, 24.129812, 12.390000,  8.056530, 23.110888,  3.603847,339.081390, 19.036295,  9.858415, 37.890129, 16.964590,  7.288962
  1.219034, 24.764257, 13.650000,  8.048230, 24.327618,  3.502558,342.591644, 20.929892, 10.475032, 39.065491, 17.269106,  7.645418
  1.274941, 25.039883, 13.360000,  8.039218, 24.898533,  3.734231,350.594727, 21.223715, 11.284801, 39.829815, 17.322067,  7.710279
  1.368762, 25.143892, 13.560000,  7.922057, 24.528160,  3.691666,336.273254, 22.317017,  9.828702, 39.123928, 16.496788,  7.886034
  1.448446, 25.752333, 17.850000,  8.291571, 26.065540,  3.631716,345.469849, 22.713339, 10.267016, 40.394142, 16.527672,  8.034588
  1.310285, 25.143892, 17.469999,  7.372290, 26.240248,  3.615517,327.778656, 22.733837,  9.681554, 39.540520, 17.189671,  7.860924
  1.349484, 24.691458, 15.870000,  7.651677, 27.001947,  3.717568,352.069000, 22.146196,  9.793180, 40.701458, 17.344135,  8.034588
  1.441378, 24.613447, 16.379999,  7.696742, 27.323391,  3.802880,359.370056, 22.030027, 10.425715, 40.947304, 17.427980,  8.377735
  1.522347, 25.023413, 20.000000,  7.309200, 28.203886,  3.925989,365.056580, 24.455795, 11.497309, 39.984406, 17.648640,  8.411212
  1.352697, 24.438280, 19.150000,  7.210062, 27.036894,  3.595538,344.487091, 23.608477, 11.742887, 38.854191, 16.695391,  8.170596
  1.424670, 23.900606, 16.809999,  7.092899, 27.358330,  3.604178,350.735229, 22.877327, 10.619199, 36.467407, 16.216850,  8.132933
  1.494072, 23.731918, 16.299999,  7.038823, 28.287752,  3.957308,348.348328, 23.014000, 10.812680, 37.980057, 15.777120,  8.369364
  1.568614, 23.958590, 15.800000,  7.038823, 28.972582,  4.228903,326.374573, 23.690475, 10.492692, 38.676620, 16.416733,  8.582788
  1.544195, 24.201071, 15.250000,  7.192039, 29.140293,  4.319074,320.433716, 22.221350,  9.450861, 37.973228, 15.825980,  7.672616
  1.535841, 24.232702, 14.520000,  6.624245, 31.507444,  4.559353,310.853760, 22.077181,  9.190406, 39.444897, 16.487795,  7.846751
  1.461298, 24.311762, 12.850000,  6.740978, 31.409203,  4.614968,298.667633, 20.190125,  9.235056, 40.633163, 16.350107,  7.492745
